start_date,draftableid,displayname,position,firstname,lastname,shortname
9/8/2019,13040639,Ryan Tannehill,QB,Ryan,Tannehill,R. Tannehill
9/8/2019,13040741,Ryan Hewitt,TE,Ryan,Hewitt,R. Hewitt
9/8/2019,13040711,Ryan Griffin,TE,Ryan,Griffin,R. Griffin
9/8/2019,13040592,Ryan Fitzpatrick,QB,Ryan,Fitzpatrick,R. Fitzpatrick
9/8/2019,13041146,Ryan Finley,QB,Ryan,Finley,R. Finley
9/8/2019,13040661,Russell Wilson,QB,Russell,Wilson,R. Wilson
9/8/2019,13040728,Russell Shepard,WR,Russell,Shepard,R. Shepard
9/8/2019,13041356,Russell Gage,WR,Russell,Gage,R. Gage
9/8/2019,13040890,Ross Travis,TE,Ross,Travis,R. Travis
9/8/2019,13041293,Ross Dwelley,TE,Ross,Dwelley,R. Dwelley
9/8/2019,13041667,Ronald Jones II,RB,Ronald,Jones II,R. Jones II
9/8/2019,13041430,Romello Brooker,TE,Romello,Brooker,R. Brooker
9/8/2019,13041583,Rodney Anderson,RB,Rodney,Anderson,R. Anderson
9/8/2019,13040810,Rod Smith,RB,Rod,Smith,R. Smith
9/8/2019,13040821,Robert Woods,WR,Robert,Woods,R. Woods
9/8/2019,13040676,Robert Griffin III,QB,Robert,Griffin III,R. Griffin III
9/8/2019,13041286,Robert Foster,WR,Robert,Foster,R. Foster
9/8/2019,13041208,Robert Davis,WR,Robert,Davis,R. Davis
9/8/2019,13040959,Robby Anderson,WR,Robby,Anderson,R. Anderson
9/8/2019,13041085,Rico Gathers,TE,Rico,Gathers,R. Gathers
9/8/2019,13041216,Ricky Seals-Jones,TE,Ricky,Seals-Jones,R. Seals-Jones
9/8/2019,13041064,Ricky Ortiz,RB,Ricky,Ortiz,R. Ortiz
9/8/2019,13041368,Richie James Jr.,WR,Richie,James Jr.,R. James Jr.
9/8/2019,13040948,Richard Rodgers,TE,Richard,Rodgers,R. Rodgers
9/8/2019,13041047,Ricardo Louis,WR,Ricardo,Louis,R. Louis
9/8/2019,13040650,Rhett Ellison,TE,Rhett,Ellison,R. Ellison
9/8/2019,13041402,Reggie White Jr.,WR,Reggie,White Jr.,R. White Jr.
9/8/2019,13041171,Reggie Davis,WR,Reggie,Davis,R. Davis
9/8/2019,13041421,Reggie Bonnafon,RB,Reggie,Bonnafon,R. Bonnafon
9/8/2019,13041117,Reece Horn,WR,Reece,Horn,R. Horn
9/8/2019,13041412,Reece Fountain,WR,Reece,Fountain,R. Fountain
9/8/2019,13040586,Redskins ,DST,Redskins,,Redskins
9/8/2019,13041608,Ray-Ray McCloud,WR,Ray-Ray,McCloud,R. McCloud
9/8/2019,13040589,Ravens ,DST,Ravens,,Ravens
9/8/2019,13041191,Rashard Higgins,WR,Rashard,Higgins,R. Higgins
9/8/2019,13041278,Rashard Davis,WR,Rashard,Davis,R. Davis
9/8/2019,13040881,Rashad Ross,WR,Rashad,Ross,R. Ross
9/8/2019,13041554,Rashaad Penny,RB,Rashaad,Penny,R. Penny
9/8/2019,13041845,Raphael Leonard,WR,Raphael,Leonard,R. Leonard
9/8/2019,13040715,Randall Cobb,WR,Randall,Cobb,R. Cobb
9/8/2019,13040575,Rams ,DST,Rams,,Rams
9/8/2019,13040933,Raheem Mostert,RB,Raheem,Mostert,R. Mostert
9/8/2019,13041560,Quinton Flowers,RB,Quinton,Flowers,Q. Flowers
9/8/2019,13040777,Quincy Enunwa,WR,Quincy,Enunwa,Q. Enunwa
9/8/2019,13041657,Quadree Henderson,WR,Quadree,Henderson,Q. Henderson
9/8/2019,13041441,Qadree Ollison,RB,Qadree,Ollison,Q. Ollison
9/8/2019,13041630,Preston Williams,WR,Preston,Williams,P. Williams
9/8/2019,13041262,Phillip Walker,QB,Phillip,Walker,P. Walker
9/8/2019,13040611,Philip Rivers,QB,Philip,Rivers,P. Rivers
9/8/2019,13041218,Pharoh Cooper,WR,Pharoh,Cooper,P. Cooper
9/8/2019,13041007,Pharaoh Brown,TE,Pharaoh,Brown,P. Brown
9/8/2019,13041214,Peyton Barber,RB,Peyton,Barber,P. Barber
9/8/2019,13041649,Penny Hart,WR,Penny,Hart,P. Hart
9/8/2019,13041041,Paxton Lynch,QB,Paxton,Lynch,P. Lynch
9/8/2019,13040838,Paul Richardson Jr.,WR,Paul,Richardson Jr.,P. Richardson Jr.
9/8/2019,13041015,Paul Perkins,RB,Paul,Perkins,P. Perkins
9/8/2019,13041003,Patrick Ricard,RB,Patrick,Ricard,P. Ricard
9/8/2019,13041545,Patrick Mahomes,QB,Patrick,Mahomes,P. Mahomes
9/8/2019,13041473,Patrick Laird,RB,Patrick,Laird,P. Laird
9/8/2019,13040672,Patrick DiMarco,RB,Patrick,DiMarco,P. DiMarco
9/8/2019,13041495,Parris Campbell,WR,Parris,Campbell,P. Campbell
