Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Cooper Kupp (39971715),Cooper Kupp,39971715,WR/FLEX,5000,SEA@PIT 09/14/2025 01:00PM ET,SEA,3.5
TE,Travis Kelce (39972099),Travis Kelce,39972099,TE/FLEX,5000,PHI@KC 09/14/2025 04:25PM ET,KC,12.7
RB,Roschon Johnson (39971435),Roschon Johnson,39971435,RB/FLEX,4900,CHI@DET 09/14/2025 01:00PM ET,CHI,0
RB,Jaylen Wright (39971439),Jaylen Wright,39971439,RB/FLEX,4900,NE@MIA 09/14/2025 01:00PM ET,MIA,0
WR,Chris Olave (39971717),Chris Olave,39971717,WR/FLEX,4900,SF@NO 09/14/2025 01:00PM ET,NO,12.4
RB,Kaleb Johnson (39971437),Kaleb Johnson,39971437,RB/FLEX,4900,SEA@PIT 09/14/2025 01:00PM ET,PIT,-0.2
QB,Cam Ward (39971318),Cam Ward,39971318,QB,4900,LAR@TEN 09/14/2025 01:00PM ET,TEN,3.48
WR,Calvin Ridley (39971719),Calvin Ridley,39971719,WR/FLEX,4900,LAR@TEN 09/14/2025 01:00PM ET,TEN,6.7
RB,Jaydon Blue (39971441),Jaydon Blue,39971441,RB/FLEX,4800,NYG@DAL 09/14/2025 01:00PM ET,DAL,0
RB,Cam Skattebo (39971443),Cam Skattebo,39971443,RB/FLEX,4800,NYG@DAL 09/14/2025 01:00PM ET,NYG,2.9
WR,Rome Odunze (39971721),Rome Odunze,39971721,WR/FLEX,4800,CHI@DET 09/14/2025 01:00PM ET,CHI,15.7
TE,Sam LaPorta (39972101),Sam LaPorta,39972101,TE/FLEX,4800,CHI@DET 09/14/2025 01:00PM ET,DET,13.9
QB,Spencer Rattler (39971319),Spencer Rattler,39971319,QB,4800,SF@NO 09/14/2025 01:00PM ET,NO,11.46
WR,Jauan Jennings (39971723),Jauan Jennings,39971723,WR/FLEX,4800,SF@NO 09/14/2025 01:00PM ET,SF,3.6
RB,Tank Bigsby (39971445),Tank Bigsby,39971445,RB/FLEX,4700,PHI@KC 09/14/2025 04:25PM ET,PHI,1.2
TE,Mark Andrews (39972103),Mark Andrews,39972103,TE/FLEX,4700,CLE@BAL 09/14/2025 01:00PM ET,BAL,1.5
WR,Luther Burden III (39971725),Luther Burden III,39971725,WR/FLEX,4700,CHI@DET 09/14/2025 01:00PM ET,CHI,0.7
WR,Calvin Austin III (39971727),Calvin Austin III,39971727,WR/FLEX,4700,SEA@PIT 09/14/2025 01:00PM ET,PIT,17
QB,Anthony Richardson Sr. (39971320),Anthony Richardson Sr.,39971320,QB,4700,DEN@IND 09/14/2025 04:05PM ET,IND,0
RB,DJ Giddens (39971447),DJ Giddens,39971447,RB/FLEX,4700,DEN@IND 09/14/2025 04:05PM ET,IND,4.1
RB,Jerome Ford (39971449),Jerome Ford,39971449,RB/FLEX,4600,CLE@BAL 09/14/2025 01:00PM ET,CLE,1.5
WR,Rashod Bateman (39971731),Rashod Bateman,39971731,WR/FLEX,4600,CLE@BAL 09/14/2025 01:00PM ET,BAL,3
QB,Jaxson Dart (39971321),Jaxson Dart,39971321,QB,4600,NYG@DAL 09/14/2025 01:00PM ET,NYG,0
QB,Jameis Winston (39971322),Jameis Winston,39971322,QB,4600,NYG@DAL 09/14/2025 01:00PM ET,NYG,0
RB,Trey Benson (39971451),Trey Benson,39971451,RB/FLEX,4600,CAR@ARI 09/14/2025 04:05PM ET,ARI,8.5
WR,Josh Downs (39971729),Josh Downs,39971729,WR/FLEX,4600,DEN@IND 09/14/2025 04:05PM ET,IND,3.2
QB,Shedeur Sanders (39971323),Shedeur Sanders,39971323,QB,4500,CLE@BAL 09/14/2025 01:00PM ET,CLE,0
QB,Dillon Gabriel (39971324),Dillon Gabriel,39971324,QB,4500,CLE@BAL 09/14/2025 01:00PM ET,CLE,0
RB,Antonio Gibson (39971457),Antonio Gibson,39971457,RB/FLEX,4500,NE@MIA 09/14/2025 01:00PM ET,NE,0.3
WR,Kayshon Boutte (39971735),Kayshon Boutte,39971735,WR/FLEX,4500,NE@MIA 09/14/2025 01:00PM ET,NE,19.3
RB,Isaac Guerendo (39971455),Isaac Guerendo,39971455,RB/FLEX,4500,SF@NO 09/14/2025 01:00PM ET,SF,0
WR,Rashid Shaheed (39971733),Rashid Shaheed,39971733,WR/FLEX,4500,SF@NO 09/14/2025 01:00PM ET,NO,9.3
RB,Rico Dowdle (39971459),Rico Dowdle,39971459,RB/FLEX,4500,CAR@ARI 09/14/2025 04:05PM ET,CAR,3.6
TE,Tyler Warren (39972105),Tyler Warren,39972105,TE/FLEX,4500,DEN@IND 09/14/2025 04:05PM ET,IND,14.9
RB,Kareem Hunt (39971453),Kareem Hunt,39971453,RB/FLEX,4500,PHI@KC 09/14/2025 04:25PM ET,KC,4.6
TE,David Njoku (39972107),David Njoku,39972107,TE/FLEX,4400,CLE@BAL 09/14/2025 01:00PM ET,CLE,6.7
WR,Wan'Dale Robinson (39971737),Wan'Dale Robinson,39971737,WR/FLEX,4400,NYG@DAL 09/14/2025 01:00PM ET,NYG,11.5
QB,Tyson Bagent (39971325),Tyson Bagent,39971325,QB,4400,CHI@DET 09/14/2025 01:00PM ET,CHI,0
RB,Ollie Gordon II (39971465),Ollie Gordon II,39971465,RB/FLEX,4400,NE@MIA 09/14/2025 01:00PM ET,MIA,1.3
RB,Ray Davis (39971461),Ray Davis,39971461,RB/FLEX,4400,BUF@NYJ 09/14/2025 01:00PM ET,BUF,1.1
WR,Joshua Palmer (39971739),Joshua Palmer,39971739,WR/FLEX,4400,BUF@NYJ 09/14/2025 01:00PM ET,BUF,11.1
RB,Kenneth Gainwell (39971463),Kenneth Gainwell,39971463,RB/FLEX,4400,SEA@PIT 09/14/2025 01:00PM ET,PIT,5.3
RB,Will Shipley (39971467),Will Shipley,39971467,RB/FLEX,4400,PHI@KC 09/14/2025 04:25PM ET,PHI,2.6
WR,Cedric Tillman (39971741),Cedric Tillman,39971741,WR/FLEX,4300,CLE@BAL 09/14/2025 01:00PM ET,CLE,16.2
RB,Samaje Perine (39971469),Samaje Perine,39971469,RB/FLEX,4300,JAX@CIN 09/14/2025 01:00PM ET,CIN,2.6
RB,Miles Sanders (39971473),Miles Sanders,39971473,RB/FLEX,4300,NYG@DAL 09/14/2025 01:00PM ET,DAL,5
RB,Devin Singletary (39971477),Devin Singletary,39971477,RB/FLEX,4300,NYG@DAL 09/14/2025 01:00PM ET,NYG,0.9
WR,DeMario Douglas (39971743),DeMario Douglas,39971743,WR/FLEX,4300,NE@MIA 09/14/2025 01:00PM ET,NE,8.2
QB,Tyler Shough (39971326),Tyler Shough,39971326,QB,4300,SF@NO 09/14/2025 01:00PM ET,NO,0
QB,Jimmy Garoppolo (39971327),Jimmy Garoppolo,39971327,QB,4300,LAR@TEN 09/14/2025 01:00PM ET,LAR,0
RB,Blake Corum (39971471),Blake Corum,39971471,RB/FLEX,4300,LAR@TEN 09/14/2025 01:00PM ET,LAR,2.6
RB,Jaleel McLaughlin (39971475),Jaleel McLaughlin,39971475,RB/FLEX,4300,DEN@IND 09/14/2025 04:05PM ET,DEN,0
RB,Justice Hill (39971485),Justice Hill,39971485,RB/FLEX,4200,CLE@BAL 09/14/2025 01:00PM ET,BAL,-0.1
WR,DeAndre Hopkins (39971747),DeAndre Hopkins,39971747,WR/FLEX,4200,CLE@BAL 09/14/2025 01:00PM ET,BAL,11.5
RB,Bhayshul Tuten (39971483),Bhayshul Tuten,39971483,RB/FLEX,4200,JAX@CIN 09/14/2025 01:00PM ET,JAX,1.1
WR,Dyami Brown (39971745),Dyami Brown,39971745,WR/FLEX,4200,JAX@CIN 09/14/2025 01:00PM ET,JAX,8.8
RB,Kyle Monangai (39971481),Kyle Monangai,39971481,RB/FLEX,4200,CHI@DET 09/14/2025 01:00PM ET,CHI,2.1
RB,Ty Johnson (39971479),Ty Johnson,39971479,RB/FLEX,4200,BUF@NYJ 09/14/2025 01:00PM ET,BUF,2.4
TE,Evan Engram (39972109),Evan Engram,39972109,TE/FLEX,4200,DEN@IND 09/14/2025 04:05PM ET,DEN,5.1
RB,Raheim Sanders (39971491),Raheim Sanders,39971491,RB/FLEX,4100,CLE@BAL 09/14/2025 01:00PM ET,CLE,6.3
RB,Kendre Miller (39971493),Kendre Miller,39971493,RB/FLEX,4100,SF@NO 09/14/2025 01:00PM ET,NO,2.4
QB,Andy Dalton (39971328),Andy Dalton,39971328,QB,4100,CAR@ARI 09/14/2025 04:05PM ET,CAR,0
RB,Tyler Badie (39971489),Tyler Badie,39971489,RB/FLEX,4100,DEN@IND 09/14/2025 04:05PM ET,DEN,3.6
WR,Alec Pierce (39971749),Alec Pierce,39971749,WR/FLEX,4100,DEN@IND 09/14/2025 04:05PM ET,IND,4.6
WR,Marvin Mims Jr. (39971751),Marvin Mims Jr.,39971751,WR/FLEX,4100,DEN@IND 09/14/2025 04:05PM ET,DEN,3.2
RB,A.J. Dillon (39971487),A.J. Dillon,39971487,RB/FLEX,4100,PHI@KC 09/14/2025 04:25PM ET,PHI,1
RB,Cody Schrader (39971543),Cody Schrader,39971543,RB/FLEX,4000,JAX@CIN 09/14/2025 01:00PM ET,JAX,0
QB,Cooper Rush (39971368),Cooper Rush,39971368,QB,4000,CLE@BAL 09/14/2025 01:00PM ET,BAL,0
QB,Tyler Huntley (39971369),Tyler Huntley,39971369,QB,4000,CLE@BAL 09/14/2025 01:00PM ET,BAL,0
QB,Deshaun Watson (39971370),Deshaun Watson,39971370,QB,4000,CLE@BAL 09/14/2025 01:00PM ET,CLE,0
QB,Bailey Zappe (39971371),Bailey Zappe,39971371,QB,4000,CLE@BAL 09/14/2025 01:00PM ET,CLE,0
RB,Trayveon Williams (39971513),Trayveon Williams,39971513,RB/FLEX,4000,CLE@BAL 09/14/2025 01:00PM ET,CLE,0
RB,Rasheen Ali (39971635),Rasheen Ali,39971635,RB/FLEX,4000,CLE@BAL 09/14/2025 01:00PM ET,BAL,0.5
RB,Keaton Mitchell (39971637),Keaton Mitchell,39971637,RB/FLEX,4000,CLE@BAL 09/14/2025 01:00PM ET,BAL,0
RB,Patrick Ricard (39971639),Patrick Ricard,39971639,RB/FLEX,4000,CLE@BAL 09/14/2025 01:00PM ET,BAL,0
RB,D'Ernest Johnson (39971641),D'Ernest Johnson,39971641,RB/FLEX,4000,CLE@BAL 09/14/2025 01:00PM ET,BAL,0
RB,Lucas Scott (39971643),Lucas Scott,39971643,RB/FLEX,4000,CLE@BAL 09/14/2025 01:00PM ET,BAL,0
RB,Ahmani Marshall (39971645),Ahmani Marshall,39971645,RB/FLEX,4000,CLE@BAL 09/14/2025 01:00PM ET,CLE,0
QB,Jake Browning (39971330),Jake Browning,39971330,QB,4000,JAX@CIN 09/14/2025 01:00PM ET,CIN,0
QB,Nick Mullens (39971340),Nick Mullens,39971340,QB,4000,JAX@CIN 09/14/2025 01:00PM ET,JAX,0
QB,Seth Henigan (39971366),Seth Henigan,39971366,QB,4000,JAX@CIN 09/14/2025 01:00PM ET,JAX,0
QB,Brett Rypien (39971367),Brett Rypien,39971367,QB,4000,JAX@CIN 09/14/2025 01:00PM ET,CIN,0
RB,LeQuint Allen Jr. (39971625),LeQuint Allen Jr.,39971625,RB/FLEX,4000,JAX@CIN 09/14/2025 01:00PM ET,JAX,2.1
RB,Ja'Quinden Jackson (39971627),Ja'Quinden Jackson,39971627,RB/FLEX,4000,JAX@CIN 09/14/2025 01:00PM ET,JAX,0
RB,Tahj Brooks (39971629),Tahj Brooks,39971629,RB/FLEX,4000,JAX@CIN 09/14/2025 01:00PM ET,CIN,0
RB,Kendall Milton (39971631),Kendall Milton,39971631,RB/FLEX,4000,JAX@CIN 09/14/2025 01:00PM ET,CIN,0
RB,Gary Brightwell (39971633),Gary Brightwell,39971633,RB/FLEX,4000,JAX@CIN 09/14/2025 01:00PM ET,CIN,0
QB,Joe Milton III (39971333),Joe Milton III,39971333,QB,4000,NYG@DAL 09/14/2025 01:00PM ET,DAL,0
QB,Will Grier (39971365),Will Grier,39971365,QB,4000,NYG@DAL 09/14/2025 01:00PM ET,DAL,0
