,rating,name,salary,team,opp,exposure_min,exposure_max,projections_proj,projections_ceiling,projections_floor,projections_proj+/-,projections_pts/sal,projections_projown,projections_imppts,projections_leverage+/-,projections_leverage,trends_pro,trends_my,trends_bargain,trends_opp+/-,trends_snaps,vegas_pts,vegas_opppts,vegas_δ,vegas_spread,vegas_o/u,vegas_spread%,passingyear_comp,passingyear_att,passingyear_yards,passingyear_%,passingyear_y/a,passingyear_adjypa,passingyear_td,passingyear_long,passingyear_cay,passingyear_iay,passingyear_%rb,passingyear_%wr,passingyear_%te,passingyear_td%,passingyear_int%,passingyear_sack%,rushingyear_att,rushingyear_rushlong,rushingyear_yards,rushingyear_y/a,rushingyear_td,rushingyear_successrate,redzoneyear_opp,redzoneyear_opp10,redzoneyear_opp5,weather_temp,weather_humidity,weather_precip%,fantasymonth_ppg,fantasymonth_change,fantasymonth_fp/oppor,fantasymonth_fp/snap,fantasymonth_consistency,fantasymonth_upside,fantasymonth_duds,fantasymonth_count,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_change,fantasyyear_fp/oppor,fantasyyear_fp/snap,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,passingmonth_cay,passingmonth_iay,slate_id,pos,marketshareyear_rushtd,marketshareyear_rushyds,marketshareyear_snaps,receivingyear_tgts,receivingyear_receptions,receivingyear_yds,receivingyear_long,receivingyear_y/r,receivingyear_td,receivingyear_y/t,redzoneyear_td%,redzoneyear_succ%,marketshareyear_rectgts,marketshareyear_rectd,marketshareyear_recyds,receivingyear_tay,receivingyear_tay%,receivingmonth_tay,receivingmonth_tay%,projections_projsacks,defenseyear_int%,defenseyear_passsucc,defenseyear_rushsucc,defenseyear_sack%,defenseyear_takeaway%,defenseyear_td%allow,defenseyear_ypp,redzoneyear_snaps,redzoneyear_snaps10,redzoneyear_snaps5,Last Name_master,City Name_master,First Name_master,RylandID_master,Position,Name + ID,Name,Id,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,City,First Name,Last Name,RylandID
lamb7800wrc,77.92,CeeDee Lamb,7800,DAL,NYG,0,0,18.97,26.1,11.9,-0.51,2.4,16.28,19.48,3,79,6,0,29,-0.2,55,24.8,19.8,4.8,-5,44.5,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,0.18,0.06,89,0.46,0,21,-100,1.62,0.38,33,0,0,3,18.7,-1.3,2300,1.77,0.36,57,9,19,21,0,0,9.10.25,WR,0,0,0,10,6,82,31,12.1,0.4,0,22.2,0,27.6,28.6,33.5,46.3,29.9,66,55.3,0,0,0,0,0,0,0,0,0,0,0,lamb,ceedee lamb,c,lamb7800wrc,WR,CeeDee Lamb (39971655),CeeDee Lamb,39971655,WR/FLEX,7800,NYG@DAL 09/14/2025 01:00PM ET,DAL,21,0,c,lamb,lamb7800wrc
laporta4800tes,79.16,Sam LaPorta,4800,DET,CHI,0,0,10.34,14.1,6.6,-0.4,2.2,5.09,10.74,5,93,7,0,17,-0.3,57,26.5,20,4.5,-6.5,46.5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,0.47,0.18,0,0,0,13.9,-200,0,0,33,0,0,3,11.8,0.6,-700,2.26,0.21,66,38,14,21,0,0,9.10.25,TE,0,0,0,5,3,45,22,12.2,0.5,0,23.8,0,16.8,20.6,16.8,24,18,0,0,0,0,0,0,0,0,0,0,0,0,0,laporta,sam laporta,s,laporta4800tes,TE,Sam LaPorta (39972101),Sam LaPorta,39972101,TE/FLEX,4800,CHI@DET 09/14/2025 01:00PM ET,DET,13.9,0,s,laporta,laporta4800tes
lawrence5600qbt,60.11,Trevor Lawrence,5600,JAX,CIN,0,0,18.82,29.1,8.5,0.17,3.4,9.59,18.65,-4,34,1,0,34,-5.7,53,23,26.5,-4.5,3.5,49.5,54,17,29,209,60,7.2,5.93,1.1,41,121,272.4,0,0,0,3.8,2.8,5.5,2,8,12,4.4,0.3,56,2.47,1.53,0.82,82,0.53,0,8.7,300,0,0,66,0,0,3,13.7,-1.7,100,0.41,0.26,52,23,9,21,0,0,9.10.25,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lawrence,trevor lawrence,t,lawrence5600qbt,QB,Trevor Lawrence (39971308),Trevor Lawrence,39971308,QB,5600,JAX@CIN 09/14/2025 01:00PM ET,JAX,11.32,0,t,lawrence,lawrence5600qbt
legette3900wrx,65.04,Xavier Legette,3900,CAR,ARI,0,0,8.9,12.3,5.5,0.03,2.3,2.25,8.87,-8,47,2,0,29,-1.7,43,19,25.5,-6.5,6.5,44.5,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0.41,0.18,94,0.18,0,4,-300,0,0,0,0,33,3,8.1,-2.6,-1600,1.47,0.19,55,5,20,20,0,0,9.10.25,WR,0,0,0,5,3,30,17,10.3,0.3,0,33.3,0,16.5,20,14.9,25.4,23.4,0,0,0,0,0,0,0,0,0,0,0,0,0,legette,xavier legette,x,legette3900wrx,WR,Xavier Legette (39971759),Xavier Legette,39971759,WR/FLEX,3900,CAR@ARI 09/14/2025 04:05PM ET,CAR,4,0,x,legette,legette3900wrx
lockett3900wrt,49.31,Tyler Lockett,3900,TEN,LA,0,0,5.66,8.3,3.1,-3.21,1.5,0.4,8.87,-8,47,0,0,26,-4.6,45,18,23.5,-2.5,5.5,41.5,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0.35,0.18,85,0.45,0,0,-100,0,0,0,0,0,3,6.8,-3.2,-1600,1.63,0.15,45,10,35,20,0,0,9.10.25,WR,0,0,0,4,2,32,18,12.2,0.1,0,10,0,12.3,10,12.3,24.8,17.7,0,0,0,0,0,0,0,0,0,0,0,0,0,lockett,tyler lockett,t,lockett3900wrt,WR,Tyler Lockett (39971757),Tyler Lockett,39971757,WR/FLEX,3900,LAR@TEN 09/14/2025 01:00PM ET,TEN,0,0,t,lockett,lockett3900wrt
loveland3700tec,63.99,Colston Loveland,3700,CHI,DET,0,0,5.7,8,3.4,-2.27,1.5,0.21,7.97,7,95,1,0,17,-0.5,0,20,26.5,-6.5,6.5,46.5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,-100,0,0,33,0,66,3,2.8,-1.3,-1800,0,0,25,0,75,4,0,0,9.10.25,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,loveland,colston loveland,c,loveland3700tec,TE,Colston Loveland (39972119),Colston Loveland,39972119,TE/FLEX,3700,CHI@DET 09/14/2025 01:00PM ET,CHI,3.2,0,c,loveland,loveland3700tec
mahomes6200qbp,59.63,Patrick Mahomes,6200,KC,PHI,0,0,19.18,29,9.3,-1.01,3.1,3.59,20.19,5,93,1,0,46,-4.3,69,22.5,24,0.5,1.5,46.5,62,24,37,243,66,6.6,5.95,1.6,36,104.2,236.7,0,0,0,4.3,1.6,5.9,3,13,22,5.8,0.2,51.6,6.88,3.29,1.24,87,0.48,3,18.8,300,0.4,0.31,66,33,0,3,19.1,-0.9,700,0.44,0.28,87,33,4,24,142,271,9.10.25,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mahomes,patrick mahomes,p,mahomes6200qbp,QB,Patrick Mahomes (39971302),Patrick Mahomes,39971302,QB,6200,PHI@KC 09/14/2025 04:25PM ET,KC,26.02,0,p,mahomes,mahomes6200qbp
maye5200qbd,78.14,Drake Maye,5200,NE,MIA,0,0,18.47,28.9,8,0.84,3.6,4.03,17.63,-1,56,2,0,46,0.8,52,21,22.5,-3,1.5,43.5,39,17,26,175,66,6.7,5.1,1.2,26,82.6,184,0,0,0,4.6,3.1,9.1,4,15,32,7.8,0.2,59.3,2.94,1.35,0.82,85,0.67,42,9.3,-300,0,0,33,33,33,3,14.6,-0.7,-300,0.45,0.28,65,45,10,20,0,0,9.10.25,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,maye,drake maye,d,maye5200qbd,QB,Drake Maye (39971312),Drake Maye,39971312,QB,5200,NE@MIA 09/14/2025 01:00PM ET,NE,16.78,0,d,maye,maye5200qbd
mcbride6000tet,80.36,Trey McBride,6000,ARI,CAR,0,0,14.59,19.6,9.6,0.82,2.4,7.73,13.77,5,93,6,0,16,-1.7,58,25.5,19,4.5,-6.5,44.5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,0.82,0.53,94,0.18,0,12.1,-200,0,0,33,0,0,3,15.3,2,500,1.65,0.26,71,23,14,21,0,0,9.10.25,TE,0,0,0,9,7,74,21,10.5,0.1,0,9.1,0,29.4,10.5,31.4,40.3,24.6,0,0,0,0,0,0,0,0,0,0,0,0,0,mcbride,trey mcbride,t,mcbride6000tet,TE,Trey McBride (39972095),Trey McBride,39972095,TE/FLEX,6000,CAR@ARI 09/14/2025 04:05PM ET,ARI,12.1,0,t,mcbride,mcbride6000tet
mccaffrey7500rbc,83.8,C. McCaffrey,7500,SF,NO,0,0,21.12,27.2,15.1,5.39,2.8,17.27,15.73,3,86,8,0,94,0.2,41,21.8,18.8,-4,-3,40.5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,50,4,0,40,1.29,0.35,0.06,0,0,0,23.2,200,0,0,33,33,0,3,14.4,-0.7,2000,0.78,0.33,13,4,9,22,0,0,9.10.25,RB,0,50.1,74.6,4,3,36,18,9.7,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mccaffrey,c. mccaffrey,c,mccaffrey7500rbc,RB,Christian McCaffrey (39971377),Christian McCaffrey,39971377,RB/FLEX,7500,SF@NO 09/14/2025 01:00PM ET,SF,23.2,0,c,mccaffrey,mccaffrey7500rbc
mcmillan5400wrt,69.71,Tetairoa McMillan,5400,CAR,ARI,0,0,14.81,20.7,8.9,1.86,2.7,9.58,12.95,4,82,5,0,3,-1.7,0,19,25.5,-6.5,6.5,44.5,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0.18,0,11.8,200,0,0,33,0,0,3,9.1,-0.3,-100,0,0,50,0,0,4,0,0,9.10.25,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,mcmillan,tetairoa mcmillan,t,mcmillan5400wrt,WR,Tetairoa McMillan (39971699),Tetairoa McMillan,39971699,WR/FLEX,5400,CAR@ARI 09/14/2025 04:05PM ET,CAR,11.8,0,t,mcmillan,mcmillan5400wrt
metcalf5900wrd,72.93,DK Metcalf,5900,PIT,SEA,0,0,14.02,19.7,8.4,-0.29,2.4,6.29,14.31,5,83,5,0,29,-1.4,55,21.3,18.3,0.3,-3,39.5,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0.29,0.24,80,0.45,0,12.3,0,1.76,0.23,33,0,0,3,14.3,-0.9,400,1.93,0.26,47,9,28,21,0,0,9.10.25,WR,0,0,0,7,4,69,30,15.6,0.3,0,11.1,0,21.6,23.8,26.8,48,39.8,15,20.1,0,0,0,0,0,0,0,0,0,0,0,metcalf,dk metcalf,d,metcalf5900wrd,WR,DK Metcalf (39971679),DK Metcalf,39971679,WR/FLEX,5900,SEA@PIT 09/14/2025 01:00PM ET,PIT,12.3,0,d,metcalf,metcalf5900wrd
miami2900,66.34,Miami,2900,MIA,NE,0,0,6.56,14,-0.8,0.92,2.3,4.01,5.64,-1,55,4,0,28,1.5,0,22.5,21,1,-1.5,43.5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0.67,42,6,200,0,0,66,0,33,3,5.3,-0.6,-2600,0,0,78,26,21,19,0,0,9.10.25,D,0,0,0,0,0,0,0,0,0,0,15.06,0,0,0,0,0,0,0,0,2.7,1.78,49.2,40.2,5.88,1.05,3.35,6.77,11.07,6.07,3,miami,miami,m,miami2900,D,Dolphins  (39972358),Miami,39972358,DST,2900,NE@MIA 09/14/2025 01:00PM ET,MIA,0,Miami,m,miam,miami2900
miller4100rbk,53.99,Kendre Miller,4100,NO,SF,0,0,3.33,4.5,2.2,-2.77,0.8,0,6.1,0,0,0,0,66,1.3,17,18.8,21.8,0,3,40.5,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,24,3.8,0.2,46.2,0.18,0.06,0,0,0,0,2,-200,0,0,0,0,100,3,3.9,-1.1,-1400,0.49,0.23,10,0,40,20,0,0,9.10.25,RB,100,28.3,27.2,1,0,5,5,6.6,0,0,33.3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,miller,kendre miller,k,miller4100rbk,RB,Kendre Miller (39971493),Kendre Miller,39971493,RB/FLEX,4100,SF@NO 09/14/2025 01:00PM ET,NO,2.4,0,k,miller,miller4100rbk
mims4100wrm,72.96,Marvin Mims,4100,DEN,IND,0,0,9.33,13.2,5.4,-0.08,2.3,0.79,9.41,7,87,2,0,69,-1,17,22.5,21,-1.5,-1.5,43.5,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.18,0.06,82,0.59,0,3.2,-400,0,0,0,0,33,3,8.4,1,-1400,2.11,0.5,61,23,19,21,0,0,9.10.25,WR,0,0,0,3,2,31,22,12.9,0.4,0,40,0,10.1,20,13.7,1.7,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,mims,marvin mims,m,mims4100wrm,WR,Marvin Mims Jr. (39971751),Marvin Mims Jr.,39971751,WR/FLEX,4100,DEN@IND 09/14/2025 04:05PM ET,DEN,3.2,0,m,mims,mims4100wrm
mitchell3100wra,50.38,Adonai Mitchell,3100,IND,DEN,0,0,2.24,3.5,1,-4.45,0.7,0.03,6.69,0,0,2,0,91,-3,22,21,22.5,0.5,1.5,43.5,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0.12,0,82,0.59,0,2.4,-300,0,0,33,0,66,3,3.9,-2.8,-2400,0.88,0.18,57,9,28,21,0,0,9.10.25,WR,0,0,0,3,1,19,13,14.1,0,0,0,0,10.6,0,9.2,13.3,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,mitchell,adonai mitchell,a,mitchell3100wra,WR,Adonai Mitchell (39971831),Adonai Mitchell,39971831,WR/FLEX,3100,DEN@IND 09/14/2025 04:05PM ET,IND,4.1,0,a,mitchell,mitchell3100wra
montgomery5400rbd,76.93,David Montgomery,5400,DET,CHI,0,0,10.39,13.7,7,0.61,1.9,2.74,9.78,-3,57,3,0,66,1.7,27,26.5,20,4.5,-6.5,46.5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,52,4.1,0.8,45.8,3,1.82,1,0,0,0,8.3,-300,0,0,33,0,0,3,14.8,1.5,-100,0.88,0.55,57,14,14,21,0,0,9.10.25,RB,52.4,37,40.9,2,2,26,15,9.7,0,0,23.9,54.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,montgomery,david montgomery,d,montgomery5400rbd,RB,David Montgomery (39971415),David Montgomery,39971415,RB/FLEX,5400,CHI@DET 09/14/2025 01:00PM ET,DET,8.3,0,d,montgomery,montgomery5400rbd
moore5600wrd,77.57,DJ Moore,5600,CHI,DET,0,0,12.32,17,7.6,-1.17,2.2,5.98,13.49,-4,57,5,0,69,-0.8,63,20,26.5,-6.5,6.5,46.5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,0.35,0.06,0,0,0,5.2,-500,0,0,0,0,100,3,13.2,-0.6,100,1.31,0.21,55,25,40,20,0,0,9.10.25,WR,0,0,0,8,5,58,22,10,0.4,0,9.5,0,26.5,30,26.9,22.1,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,moore,dj moore,d,moore5600wrd,WR,DJ Moore (39971691),DJ Moore,39971691,WR/FLEX,5600,CHI@DET 09/14/2025 01:00PM ET,CHI,9.6,0,d,moore,moore5600wrd
murray6400qbk,80.33,Kyler Murray,6400,ARI,CAR,0,0,20.33,31.1,9.6,-0.37,3.2,3.68,20.7,6,95,6,0,30,3.5,62,25.5,19,4.5,-6.5,44.5,28,21,31,230,68,7.2,6.52,1.3,33,113.7,218.9,0,0,0,4.2,2.3,4.9,4,16,32,7.1,0.3,47.9,5.06,2.29,1.06,94,0.18,0,18.3,0,0,0,33,0,0,3,18.2,-1.4,900,0.48,0.29,71,42,19,21,0,0,9.10.25,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,murray,kyler murray,k,murray6400qbk,QB,Kyler Murray (39971300),Kyler Murray,39971300,QB,6400,CAR@ARI 09/14/2025 04:05PM ET,ARI,18.32,0,k,murray,murray6400qbk
nabers7100wrm,73.8,Malik Nabers,7100,NYG,DAL,0,0,17.05,23.6,10.5,-0.52,2.4,14.6,17.57,3,79,6,0,21,-1.3,58,19.8,24.8,-4.7,5,44.5,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,0.88,0.59,89,0.46,0,12.1,100,0,0,0,0,33,3,18.9,1.4,1600,1.45,0.33,55,25,20,20,0,0,9.10.25,WR,0,0,0,11,7,81,26,10.9,0.5,0,16.7,0,36.2,53.8,39.6,49.9,46.2,0,0,0,0,0,0,0,0,0,0,0,0,0,nabers,malik nabers,m,nabers7100wrm,WR,Malik Nabers (39971659),Malik Nabers,39971659,WR/FLEX,7100,NYG@DAL 09/14/2025 01:00PM ET,NYG,12.1,0,m,nabers,nabers7100wrm
nacua7600wrp,77.63,Puka Nacua,7600,LA,TEN,0,0,20.01,27.6,12.4,1.08,2.6,18.57,18.93,0,70,5,0,26,-2.9,46,23.5,18,-1.5,-5.5,41.5,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.24,0.12,85,0.45,0,26.1,0,0,0,33,33,0,3,20.3,1,2100,1.81,0.44,47,26,13,23,0,0,9.10.25,WR,0,0,0,10,7,95,26,12.7,0.3,0,23.1,0,33.2,17.6,40.3,45.4,33.6,0,0,0,0,0,0,0,0,0,0,0,0,0,nacua,puka nacua,p,nacua7600wrp,WR,Puka Nacua (39971657),Puka Nacua,39971657,WR/FLEX,7600,LAR@TEN 09/14/2025 01:00PM ET,LAR,26.1,0,p,nacua,nacua7600wrp
new england2800,54.48,New England,2800,NE,MIA,0,0,5.8,12.5,-0.9,0.43,2.1,2.62,5.37,3,80,2,0,93,1.4,0,21,22.5,-3,1.5,43.5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0.67,42,8,-300,0,0,66,33,33,3,4.4,-1.1,-2700,0,0,60,20,40,20,0,0,9.10.25,D,0,0,0,0,0,0,0,0,0,0,20.11,0,0,0,0,0,0,0,0,2,1.67,50.28,41.36,5.38,0.86,4.27,7.31,10.53,5.81,2.75,england,new england,n,new england2800,D,Patriots  (39972359),New England,39972359,DST,2800,NE@MIA 09/14/2025 01:00PM ET,NE,7,New England,n,england,new england2800
new orleans2500,50.32,New Orleans,2500,NO,SF,0,0,5.74,12.4,-0.9,1.17,2.3,2.96,4.57,-4,35,1,0,16,0.5,0,18.8,21.8,0,3,40.5,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,100,0,0,66,33,33,3,5.3,0.1,-3000,0,0,85,35,15,20,0,0,9.10.25,D,0,0,0,0,0,0,0,0,0,0,21.09,0,0,0,0,0,0,0,0,1.9,2.04,46.52,46.17,6.79,1.11,3.69,7.3,9.19,4.56,3.15,orleans,new orleans,n,new orleans2500,D,Saints  (39972365),New Orleans,39972365,DST,2500,SF@NO 09/14/2025 01:00PM ET,NO,8,New Orleans,n,orleans,new orleans2500
nix6100qbb,66,Bo Nix,6100,DEN,IND,0,0,18.31,28.6,8,-1.62,3,1.92,19.93,6,95,1,0,18,-0.2,63,22.5,21,-1.5,-1.5,43.5,54,21,32,227,66,6.9,6.71,1.8,40,102.1,240.8,0,0,0,5.6,1.9,4.2,5,12,24,4.5,0.2,49.4,5.53,2.12,1,82,0.59,0,9.1,-200,0,0,33,0,33,3,17.6,-0.3,600,0.44,0.28,86,40,9,22,0,0,9.10.25,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nix,bo nix,b,nix6100qbb,QB,Bo Nix (39971303),Bo Nix,39971303,QB,6100,DEN@IND 09/14/2025 04:05PM ET,DEN,9.84,0,b,nix,nix6100qbb
njoku4400ted,77.75,David Njoku,4400,CLE,BAL,0,0,10.11,13.8,6.4,0.38,2.3,7.44,9.73,2,86,4,0,19,-1.6,56,17,28.5,1,11.5,45.5,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.59,0.29,82,0.47,0,5.4,-300,0,0,33,0,33,3,13.6,1.7,-1100,1.48,0.24,47,28,14,21,0,0,9.10.25,TE,0,0,0,9,6,46,16,7.7,0.5,0,28.6,0,24,35.7,17.5,23.8,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,njoku,david njoku,d,njoku4400ted,TE,David Njoku (39972107),David Njoku,39972107,TE/FLEX,4400,CLE@BAL 09/14/2025 01:00PM ET,CLE,6.7,0,d,njoku,njoku4400ted
ny giants2600,42.43,NY Giants,2600,NYG,DAL,0,0,6.28,12.9,-0.3,1.44,2.4,5.23,4.84,-7,21,1,0,28,-0.9,0,19.8,24.8,-4.7,5,44.5,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0.46,0,7.3,300,0,0,100,0,0,3,6,0.6,-2900,0,0,76,23,19,21,0,0,9.10.25,D,0,0,0,0,0,0,0,0,0,0,18.13,0,0,0,0,0,0,0,0,2.2,0.79,51.87,42.83,9.23,0.4,4.03,7.65,10.06,5,3.73,giants,ny giants,n,ny giants2600,D,Giants  (39972364),NY Giants,39972364,DST,2600,NYG@DAL 09/14/2025 01:00PM ET,NYG,3,NY Giants,n,giants,ny giants2600
ny jets2400,15.12,NY Jets,2400,NYJ,BUF,0,0,4.78,10.6,-1.2,0.48,2,8.58,4.3,-20,1,1,0,28,-5.3,0,20,26.5,2,6.5,46.5,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0.46,0,4.3,-400,0,0,33,0,66,3,5.8,-0.7,-3100,0,0,66,33,33,21,0,0,9.10.25,D,0,0,0,0,0,0,0,0,0,0,20.65,0,0,0,0,0,0,0,0,1.3,1.33,44.38,43.83,8.38,0.7,4.15,6.81,10.82,5.76,3.71,jets,ny jets,n,ny jets2400,D,Jets  (39972367),NY Jets,39972367,DST,2400,BUF@NYJ 09/14/2025 01:00PM ET,NYJ,3,NY Jets,n,jets,ny jets2400
odunze4800wrr,77.28,Rome Odunze,4800,CHI,DET,0,0,11.78,16.5,7,0.46,2.5,5.05,11.32,-5,54,2,0,69,-0.8,56,20,26.5,-6.5,6.5,46.5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0.29,0.24,0,0,0,14.6,-300,0,0,66,33,0,3,9.7,-1.9,-700,1.55,0.17,66,19,23,21,0,0,9.10.25,WR,0,0,0,6,3,45,22,13.6,0.2,0,22.2,0,19.5,15,20.9,29.5,31.9,0,0,0,0,0,0,0,0,0,0,0,0,0,odunze,rome odunze,r,odunze4800wrr,WR,Rome Odunze (39971721),Rome Odunze,39971721,WR/FLEX,4800,CHI@DET 09/14/2025 01:00PM ET,CHI,15.7,0,r,odunze,odunze4800wrr
okonkwo3300tec,83.56,Chig Okonkwo,3300,TEN,LA,0,0,7.82,10.6,5,0.86,2.4,11.35,6.96,-9,37,2,0,75,2.2,39,18,23.5,-2.5,5.5,41.5,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.06,0.06,85,0.45,0,4.9,-100,0,0,33,0,0,3,6.3,-0.3,-2200,1.46,0.16,66,23,19,21,0,0,9.10.25,TE,0,0,0,4,3,29,16,9.3,0.1,0,0,0,14.1,4.8,13.3,14.3,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,okonkwo,chig okonkwo,c,okonkwo3300tec,TE,Chig Okonkwo (39972137),Chig Okonkwo,39972137,TE/FLEX,3300,LAR@TEN 09/14/2025 01:00PM ET,TEN,4.9,0,c,okonkwo,okonkwo3300tec
olave4900wrc,73.67,Chris Olave,4900,NO,SF,0,0,11.77,16.6,7,0.18,2.4,10.42,11.59,-17,32,1,0,75,-0.7,37,18.8,21.8,0,3,40.5,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0.06,0.06,0,0,0,7.2,-200,0,0,66,0,33,3,9.3,-2.1,-600,1.51,0.25,28,9,23,21,0,0,9.10.25,WR,0,0,0,6,4,55,19,13,0.1,0,14.3,0,19.8,14.3,24.8,38.1,25.6,0,0,0,0,0,0,0,0,0,0,0,0,0,olave,chris olave,c,olave4900wrc,WR,Chris Olave (39971717),Chris Olave,39971717,WR/FLEX,4900,SF@NO 09/14/2025 01:00PM ET,NO,12.4,0,c,olave,olave4900wrc
pacheco5500rbi,60.18,Isiah Pacheco,5500,KC,PHI,0,0,11.61,15.3,7.9,1.54,2.1,0.44,10.07,8,95,1,0,21,-2.5,29,22.5,24,0.5,1.5,46.5,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,41,4,0,41.1,0.59,0.29,0.18,87,0.48,3,5.4,-200,0.67,0.17,33,0,66,3,5,-2.1,0,0.39,0.17,8,0,47,23,0,0,9.10.25,RB,0,39.7,43.2,2,1,7,6,4.1,0,0,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pacheco,isiah pacheco,i,pacheco5500rbi,RB,Isiah Pacheco (39971411),Isiah Pacheco,39971411,RB/FLEX,5500,PHI@KC 09/14/2025 04:25PM ET,KC,4.8,0,i,pacheco,pacheco5500rbi
palmer4400wrj,57.64,Joshua Palmer,4400,BUF,NYJ,0,0,7.67,11.2,4.1,-2.56,1.7,2.19,10.23,-11,41,1,0,23,-0.8,40,26.5,20,0,-6.5,46.5,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0.12,0.06,81,0.46,0,6.2,-100,0,0,33,0,33,3,7.1,-2.2,-1100,1.74,0.18,50,8,33,24,0,0,9.10.25,WR,0,0,0,4,2,40,22,15.4,0.1,0,0,0,14,5.3,17.5,33.4,25.4,0,0,0,0,0,0,0,0,0,0,0,0,0,palmer,joshua palmer,j,palmer4400wrj,WR,Joshua Palmer (39971739),Joshua Palmer,39971739,WR/FLEX,4400,BUF@NYJ 09/14/2025 01:00PM ET,BUF,11.1,0,j,palmer,palmer4400wrj
